track_name,track_artist,valence,energy,track_album_name,track_href,track_album_release_date,track_popularity
You Really Got Me - 2015 Remaster,Van Halen,0.647,0.946,Van Halen (Remastered),https://api.spotify.com/v1/tracks/0upLyFR8Rr52ZpMp5esQoq,1978-02-10,68
Black Hole Sun,Soundgarden,0.147,0.828,Superunknown (Deluxe Edition),https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,1994-03-09,76
Black Magic Woman - Single Version,Santana,0.622,0.349,Santana's Greatest Hits,https://api.spotify.com/v1/tracks/4YMQXzscifAREG0a7KNGhB,1994-07-01,70
Fly Away,Lenny Kravitz,0.735,0.872,5,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW,1998-05-12,73
Message In A Bottle,The Police,0.869,0.808,Reggatta De Blanc (Remastered 2003),https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO,1979-10-02,75
Heroes - 2017 Remaster,David Bowie,0.435,0.758,"""Heroes"" (2017 Remaster)",https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,1977,72
Immigrant Song - Remaster,Led Zeppelin,0.619,0.932,Led Zeppelin III (Remaster),https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,1970,75
Mr. Blue Sky,Electric Light Orchestra,0.478,0.338,Out of the Blue,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,1977,76
Back In Black,AC/DC,0.763,0.7,Back In Black,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,1980-07-25,83
Barracuda,Heart,0.667,0.691,Little Queen,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz,1977-05-14,74
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.342,0.532,Honky Chateau,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,1972-05-19,79
Heart-Shaped Box,Nirvana,0.382,0.641,In Utero (Deluxe Edition),https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,1993-09-21,79
Life in the Fast Lane - 2013 Remaster,Eagles,0.883,0.755,Hotel California (2013 Remaster),https://api.spotify.com/v1/tracks/6gXrEUzibufX9xYPk3HD5p,1976-12-08,68
Africa,TOTO,0.732,0.373,Toto IV,https://api.spotify.com/v1/tracks/2374M0fQpWi3dLnB54qaLX,1982-04-08,83
(Don't Fear) The Reaper,Blue Öyster Cult,0.385,0.927,Agents Of Fortune,https://api.spotify.com/v1/tracks/5QTxFnGygVM4jFQiBovmRo,1976,75
1979 - Remastered 2012,The Smashing Pumpkins,0.964,0.787,Mellon Collie And The Infinite Sadness (Deluxe Edition),https://api.spotify.com/v1/tracks/5QLHGv0DfpeXLNFo7SFEy1,1995,77
Comfortably Numb,Pink Floyd,0.171,0.366,The Wall,https://api.spotify.com/v1/tracks/5HNCy40Ni5BZJFw1TKzRsC,1979-11-30,71
Black Dog - Remaster,Led Zeppelin,0.749,0.864,Led Zeppelin IV (Deluxe Edition),https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb,1971-11-08,69
No One Knows,Queens of the Stone Age,0.685,0.584,Songs For The Deaf,https://api.spotify.com/v1/tracks/6y20BV5L33R8YXM0YuI38N,2002-01-01,69
Long Train Runnin',The Doobie Brothers,0.843,0.912,The Captain and Me,https://api.spotify.com/v1/tracks/4nXkbcTj3nyww1cHkw5RAP,1973,69
Loser,Beck,0.786,0.611,Mellow Gold,https://api.spotify.com/v1/tracks/5PntSbMHC1ud6Vvl8x56qd,1994-03-01,69
American Pie,Don McLean,0.492,0.482,American Pie,https://api.spotify.com/v1/tracks/1fDsrQ23eTAVFElUMaf38X,1971,74
Roxanne,The Police,0.663,0.748,Outlandos D'Amour (Remastered 2003),https://api.spotify.com/v1/tracks/3EYOJ48Et32uATr9ZmLnAo,1978-11-02,77
My Sharona,The Knack,0.897,0.7,Get The Knack,https://api.spotify.com/v1/tracks/1HOMkjp0nHMaTnfAkslCQj,1979-01-01,69
Walk On the Wild Side,Lou Reed,0.385,0.318,Transformer,https://api.spotify.com/v1/tracks/5p3JunprHCxClJjOmcLV8G,1972-12-01,74
The Boys Are Back In Town,Thin Lizzy,0.768,0.706,Jailbreak (Deluxe Edition),https://api.spotify.com/v1/tracks/43DeSV93pJPT4lCZaWZ6b1,1976,70
Highway to Hell,AC/DC,0.423,0.913,Highway to Hell,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,1979-07-27,84
Vienna,Billy Joel,0.308,0.495,The Stranger (Legacy Edition),https://api.spotify.com/v1/tracks/4U45aEWtQhrm8A5mxPaFZ7,1977,79
Alive,Pearl Jam,0.595,0.875,Ten,https://api.spotify.com/v1/tracks/1L94M3KIu7QluZe63g64rv,1991-08-27,73
The Best,Tina Turner,0.744,0.737,Foreign Affair,https://api.spotify.com/v1/tracks/6pPWRBubXOBAHnjl5ZIujB,1989-09-13,69
Give It Away,Red Hot Chili Peppers,0.776,0.936,Blood Sugar Sex Magik (Deluxe Edition),https://api.spotify.com/v1/tracks/0uppYCG86ajpV2hSR3dJJ0,1991-09-24,72
Good Riddance (Time of Your Life),Green Day,0.648,0.432,Nimrod,https://api.spotify.com/v1/tracks/6ORqU0bHbVCRjXm9AjyHyZ,1997-10-14,79
The Boys Of Summer,Don Henley,0.907,0.549,Building The Perfect Beast,https://api.spotify.com/v1/tracks/4gvea7UlDkAvsJBPZAd4oB,1984-11-19,73
Break on Through (To the Other Side),The Doors,0.789,0.751,The Doors,https://api.spotify.com/v1/tracks/6ToM0uwxtPKo9CMpbPGYvM,1967-01-04,72
Sabotage,Beastie Boys,0.543,0.938,Ill Communication,https://api.spotify.com/v1/tracks/0Puj4YlTm6xNzDDADXHMI9,1994-05-23,71
Pour Some Sugar On Me - Remastered 2017,Def Leppard,0.568,0.953,Hysteria (Super Deluxe),https://api.spotify.com/v1/tracks/0PdM2a6oIjqepoEfcJo0RO,1987-08-03,72
Learn to Fly,Foo Fighters,0.537,0.919,There Is Nothing Left To Lose,https://api.spotify.com/v1/tracks/5OQsiBsky2k2kDKy2bX2eT,1999-11-02,73
Hit Me With Your Best Shot,Pat Benatar,0.944,0.58,Crimes Of Passion,https://api.spotify.com/v1/tracks/0vOkmmJEtjuFZDzrQSFzEE,1980-08-05,70
Bullet With Butterfly Wings - Remastered 2012,The Smashing Pumpkins,0.475,0.72,Mellon Collie And The Infinite Sadness (Deluxe Edition),https://api.spotify.com/v1/tracks/6GtX0jaNL8IjVQfrDBx81z,1995,73
Interstate Love Song - 2019 Remaster,Stone Temple Pilots,0.49,0.927,Purple (2019 Remaster),https://api.spotify.com/v1/tracks/6qLEOZvf5gI7kWE63JE7p3,1994-06-07,72
London Calling - Remastered,The Clash,0.776,0.801,London Calling (Remastered),https://api.spotify.com/v1/tracks/5jzma6gCzYtKB1DbEwFZKH,1979,70
Wish You Were Here,Pink Floyd,0.375,0.262,Wish You Were Here,https://api.spotify.com/v1/tracks/6mFkJmJqdDVQ1REhVfGgd1,1975-09-12,75
Free Fallin',Tom Petty,0.573,0.449,Full Moon Fever,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,1989-01-01,75
No Rain,Blind Melon,0.566,0.476,Blind Melon,https://api.spotify.com/v1/tracks/6txWz9UapYHVxEd7dDIHXT,1992-01-01,73
Panama - 2015 Remaster,Van Halen,0.451,0.978,1984 (Remastered),https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS,1984-01-04,72
Would? (2022 Remaster),Alice In Chains,0.586,0.842,Dirt (2022 Remaster),https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,1992-09-29,72
Born to Run,Bruce Springsteen,0.606,0.944,Born To Run,https://api.spotify.com/v1/tracks/6hTcuIQa0sxrrByu9wTD7s,1975-08-25,70
Unforgettable,Nat King Cole,0.178,0.182,Unforgettable,https://api.spotify.com/v1/tracks/648TTtYB0bH0P8Hfy0FmkL,1954-01-01,69
